father	اب
خرس	خرس تنبل
خرس	خرس آفتاب
گراز	گراز دریایی
insect	حشره
entomology	حشره‌شناسی
کرم	کرم شب‌تاب
شغال	شغال طلایی
شغال	شغال‌های طلایی
شغال	شغال پهلوخط‌دار
شغال	شغال پشت‌سیاه
Hashemian	هاشمیان
moonlight	ماهتاب
Pashtun	پشتون
owner	دارنده
تحمل	تحمل کردن
beloved	معشوق
mortal	میرنده
biological	زیستی
formally	رسما
آرام	آرام گرفتن
North America	آمریکای شمالی
South America	آمریکای جنوبی
thick	قطور
large	گت
aggressive	مهاجم
ستاره	ستاره داوود
especially	خصوص
clothes	پوشاک
dancer	رقصنده
glans penis	حشفه
قو	قوی سیاه
angry	خشمگین
مهاجرت	مهاجرت کردن
resemblance	شباهت
dictionary	لغت‌نامه
stimulation	تحریک
جوی	جوی
leviathan	لویاتان
mite	هیره
tick	کنه
Bashir	بشیر
مبارک	تولدت مبارک
بیدار	بیدار کردن
Yahoo!	یاهو!
unrestrained	هرزه
debauchery	هرزگی
اغوا	اغوا کردن
seduction	اغوا
pornography	هرزه‌نگاری
sexology	سکسولوژی
قوها	قوهای سیاه
especially	بویژه
intelligent	هوشمند
ثابت	ثابت کردن
مو	موی عانه
گفته	گفته شدن
catfish	گربه‌ماهی
کوسه	کوسه بزرگ سفید
آلت	آلت تناسلی مرد
subject	موضوع
rainfall	بارندگی
forgiveness	بخشش
Gnostic	گنوستیک
Gnosticism	گنوستیسیزم
gnosis	گنوسیس
aeon	سوفیا
Demiurge	دمیورژ
درد	درد گرفتن
۱	سیزده
۱	چهارده
۱	پانزده
۱	شانزده
دی‌ان‌ای	دی‌ان‌ای میتوکندریایی
mitochondrial	میتوکندریایی
microwave	ریزموج
learn	آموختن
zeal	شوق
جماهیری	جماهیری عربی سوسیالیستی خلق بزرگ لیبی
socialist	سوسیالیست
socialist	سوسیالیستی
Marxism	مارکسیسم
Michael	مایکل
علاقه	علاقه داشتن
به	به خواب رفتن
embrace	آغوش
four hundred	چهارصد
چهارصد	چهارصد و بیست
Mazdean	مزدیسنا
Ahura	اهورا
belonging	متعلق
Republic of Armenia	جمهوری ارمنستان
chameleon	آفتاب‌پرست
temporal	زمانی
thank you	متشکرم
زیر	زیربغل
sea	دریایی
اسب	اسب دریایی
genus	سرده
living	جاندار
taxonomic rank	طبقه آرایه‌شناختی
taxonomic rank	رتبه آرایه‌شناختی
domain	دامنه
kingdom	فرمانرو
order	راسته
kind	گونه
Romanian	رومانیایی
Pakistani	پاکستانی
rub	مالیدن
thank you	سپاس‌گزارم
thankful	سپاسگزار
whale	وال
tub	وان
governmental	دولتی
democracy	دموکراسی
challenge	چالش
divine	خدایی
imamzadeh	امامزاده
vihara	ویهارا
phoenix	ققنوس
رنگین	رنگین‌کمان
excellent	شگرف
imagine	تصور کردن
پنهان	پنهان شدن
پنهان	پنهان کردن
unit	یکا
یکا	یکای کیهانی
nowadays	امروزه
Hungarian	مجاری
metric	متریک
power	قدرت
throat	گلو
gorilla	گوریل
گوریل	گوریل غربی
گوریل	گوریل شرقی
familial	خانوادگی
mouth	دهن
how much	چقدر
empty	پوچ
yesteryear	دیسال
hollow	پوک
rubbed	پوده
سوسیالیسم	سوسیالیسم دموکراتیک
graviton	گراویتون
witch	ساحره
sorcerer	ساحر
Azam	اعظم
boson	بوزون
reality	واقعیت
lepton	لپتون
spin	اسپین
electromagnetism	الکترومغناطیس
بوسنی	بوسنی و هرزگوین
Dutch	هلندی
chi	خی
roe deer	شوکا
ant	مور
chicken	مرغانه
sparrow	گنجشک
muon	میون
neutrino	نوترینو
hall	تالار
apology	پوزش
creation	آفرینش
affection	دلبستگی
kindness	مهربانی
stubborn	سمج
recreation	تفریح
leak	نشت
match	کبریت
method	شیوه
scary	سهمگین
scary	خوفناک
fear	خوف
-phobic	هراس
scary	بیمناک
scary	ترسناک
gift	پیشکش
difficult	دشوار
difficulty	دشواری
fountain	فواره
мутмаин	مطمئن
except	بجز
pair	جفت
Arctic	شمالگان
fear	پروا
reckless	بی‌پروا
resurrection	رستاخیز
unruly	سرکش
unruly	نافرمان
website	تارنما
auto-	خودکار
guard	پاس
fundamental	بنیادی
brotherhood	برادری
news	تازه‌ها
sometimes	گاهی
ampoule	آمپول
deduction	برداشت
strategic	راهبردی
fear	هراسیدن
meaning	چم
unique	یکتا
unacceptable	ناپسند
shiny	درخشان
shiny	تابان
torn	فرسوده
crisp	ترد
herd	رمه
Texan	تگزاسی
meow	میو
thumbtack	پونز
European Union	اتحادیه اروپا
rope	رسن
army	سپاه
Persepolis	پارسه
Pasargadae	پاسارگاد
South Sudan	سودان جنوبی
Traditional Chinese	چینی سنتی
Simplified Chinese	چینی ساده‌شده
shield	سپر
veil	باشامه
straight	رک
deaf	ناشنوا
ҳазаён	هذیان
block	گیر
-logy	شناسی
upload	بارگذاری
sister	آبجی
қатор	قطار
-phobia	هراسی
African Union	اتحادیه آفریقا
Ethiopia	اتیوپی
toxicology	زهرشناسی
idiot	گاگول
dumb	ابله
ignorant	نادان
paramecium	پارامسی
commander in chief	فرمانده کل قوا
major	سرگرد
lieutenant	ستوان
corporal	سرجوخه
swimming	شناوری
sinner	گناه‌کار
وسیع	وسیع باش و تنها و سر به زیر و سخت
dependent	وابسته
dreamy	رویایی
separation	جدایی
Ukraine	اوکراین
box office	گیشه
kiosk	کیوسک
generous	راد
generous	رادمنش
bribe	رشوه
upset	پکر
Antarctica	جنوبگان
Kyrgyzstan	قرقیزستان
Sri Lanka	سری‌لانکا
جمهوری	جمهوری آفریقای مرکزی
Rwanda	رواندا
Turkmenistan	ترکمنستان
Moldova	مولداوی
Estonia	استونی
Latvia	لتونی
Lithuania	لیتوانی
hydrogen peroxide	آب اکسیژنه
hydrogen peroxide	هیدروژن پراکسید
mineral	کانی
-logist	ـشناس
comma	ویرگول
plectrum	زخمه
Susa	شوش
Switzerland	سوئیس
because	زیرا
resembling	مانند
like	نظیر
like	همانند
idiot	هالو
refinery	پالایشگاه
repression	سرکوب
polymer	بسپار
polymer	پلیمر
barefoot	پاپتی
unique	یگانه
do you need help	به کمک احتیاج دارید
do you need help	به کمک احتیاج داری
I need your help	به کمک شما احتیاج دارم
I need your help	به کمکت احتیاج دارم
badass	خفن
parasite	انگل
cricket	جیرجیرک
تلفظ	تلفظ کردن
tactic	تاکتیک
strategy	راهبرد
strategy	استراتژی
باران	باران آمدن
kick	لگد
Latin	لاتین
hot	داغ
дилрабо	دلربا
noise	هیاهو
story	قصه
short story	داستان کوتاه
map	خریطه
cigarette	سیگاری
Bulgarian	بلغار
rational	معقول
domestic	وطنی
traitor	وطن‌فروش
treason	وطن‌فروشی
menopause	یائسگی
national anthem	سرود ملی
porn	پورنو
Communism	کمونیسم
چای	چای سبز
coronation	تاجگذاری
queen consort	شهبانو
cabaret	کاباره
formula	فرمول
kairomone	کایرومون
nocturnal emission	احتلام
princess	شاهدخت
traditional	سنتی
pheromone	فرومون
smell	بوییدن
smile	لبخند
لبخند	لبخند زدن
Slovenia	اسلوونی
fly	پخشه
زردک	زردک
egg	خاگ
seed	بذر
curse	فحش
сӯсан	سوسن
epidemic	واگیردار
saw	منشار
cheek	لپ
tobacco	توتون
knee	زونی
population	جمعیت
humanity	بشریت
humanity	آدمیت
pollution	آلودگی
honour	فخر
nature	سرشت
generally	عموما
debauch	عیاشی
livelihood	معیشت
washing	غسل
prevention	منع
paladin	بهادر
crowded	شلق
arse	قین
mystic	عارف
آغاز	آغاز شدن
بیمار	بیمار شدن
pinned	آچمز
happy	خواش
sunlight	افتو
height	فراز
Christian	فرنگی
effort	کوشش
this	یو
eye	چیش
happy	خش
eat	خواردن
sit	نشسن
graze	چردن
drone	پهپاد
generation	نسل
faint	شمیدن
pee	جیش
swallowing	بلع
agreement	توافق
hole	سولاخ
hole	سیلاغ
crow	قلا
sleep	خوسیدن
wood	چوغ
stream	جوغ
expectation	توقع
luggage	زاد
nose	پوز
exploration	اکتشاف
span	وجب
armlet	بازوبند
abbreviation	اختصار
paper	قاغذ
servant	غلام
send	فرسادن
тайёра	طیاره
already	اینک
sisterly	خواهرانه
brotherly	برادرانه
tomato	تماته
mortar	جوغن
transformation	دگرگونی
lizard	کلپوک
fundamentalist	بنیادگرا
fundamentalism	بنیادگرایی
-ist	گرا
sparrow	گجیک
chicken	جیجه
blood	خین
pluck	چیندن
snake	مر
butterfly	پرپروک
temper	خو
crooked	کج
surrealism	فراواقع‌گرایی
nationalism	ملی‌گرایی
nationalist	ملی‌گرا
positivist	اثبات‌گرا
positivism	اثبات‌گرایی
pragmatism	پراگماتیسم
different	گوناگون
famous	مشهور
سخن	سخن گفتن
press	فشردن
accuracy	دقت
bozbash	بزباش
факултет	فاکولته
grater	رنده
بزرگ	بزرگ شدن
blindness	نابینایی
blind	نابینا
rectangle	مستطیل
video	ویدیو
compensation	جبران
continuation	تداوم
جدا	جدا شدن
جستجو	جستجو کردن
condemnation	محکومیت
ستاره	ستاره نوترونی
weak	ضعیف
Muslim	مسلمون
weblog	وبلاگ
publication	انتشار
پژوهش	پژوهش کردن
reproductive	تناسلی
دستگاه	دستگاه تناسلی
از	از خاطر رفتن
بالا	بالا رفتن
فرو	فرو رفتن
seller	فروشنده
TV	تی‌وی
athletic	ورزشی
death	درگذشت
journalist	روزنامه‌نگار
journalism	روزنامه‌نگاری
meteorology	هواشناسی
sunny	آفتابی
reaction	واکنش
egregious	فاحش
monotheism	یکتاپرستی
polytheism	چندخدایی
agnosticism	ندانم‌گرایی
pantheism	همه‌خدایی
سر	سر کیر
least	کم‌ترین
least	کمترین
درست	درست کردن
تفسیر	تفسیر کردن
عشق	عشق ورزیدن
پا	پا به جهان گذاشتن
پا	پا به سن گذاشتن
پا	پا در میان گذاشتن
پشت	پشت سر گذاشتن
جا	جا گذاشتن
کنار	کنار گذاشتن
اعتماد	اعتماد داشتن
trust	اعتماد
اقامت	اقامت داشتن
residence	اقامت
act	کنش
reading	خوانش
sight	بینش
cutting	برش
vestige	ردیا
title	عنوان
Moshiri	مشیری
handsome	رعنا
Ardeshir	اردشیر
Bozorgmehr	بزرگمهر
خانم‌ها	خانم‌ها و آقایان
personal	شخصی
گم	گم شدن
Avestan	زبان اوستایی
Avestan	اوستایی
تمرین	تمرین کردن
practice	تمرین
white	سفیدپوست
ZWNJ	سیاه‌پوست
توصیف	توصیف کردن
chart	نگاره
shave	تراشیدن
Khamenei	خامنه‌ای
Parviz	پرویز
Davudi	داوودی
Esfandiyar	اسفندیار
praise	نیایش
forgive	آمرزیدن
Masud	مسعود
Derderian	دردریان
charmed	مفتون
why	چر
spinning wheel	چرخه
یخ	یخ بستن
duality	ثنویت
Golestani	گلستانی
Shahrzad	شهرزاد
vibration	ارتعاش
trembling	مرتعش
surprise	شگفت
downward	پایین
Republic of Turkey	جمهوری ترکیه
anthropology	مردم‌شناسی
mammoth	ماموت
Jewish	یهود
کینه	کینه ورزیدن
dinosaur	دایناسور
Šâdmehr	شادمهر
به	به دنیا آمدن
area	ناحیه
annual	سالانه
تحصیل	تحصیل کردن
awake	بیدار
تَمام	تمام شدن
تمام	تمام کردن
امیدوار	امیدوار بودن
پشیمان	پشیمان بودن
شاهد	شاهد بودن
belong	متعلق بودن
کمک	کمک دادن
دراز	دراز کشیدن
زحمت	زحمت کشیدن
choose	برگزیدن
novelty	تازگی
gallery	گالری
hardcore	هاردکور
energetic	پرانرژی
suck	ساک زدن
کیسه	کیسه بیضه
پوست	پوست بیضه
کیسه	کیسه خایه
fleshy	گوشتی
اندرکنش	اندرکنش بنیادی
نیرو	نیروی هسته‌ای قوی
نیرو	نیروی هسته‌ای ضعیف
اندرکنش	اندرکنش ضعیف
اندرکنش	اندرکنش قوی
beat	کوبیدن
خال	خال کوبیدن
خط	خط زدن
lovable	دوست‌داشتنی
minority	اقلیت
خنثی	خنثی کردن
monotheistic	یکتاپرستانه
racist	نژادپرستانه
supervisor	سرپرست
medium	متوسط
temple	هیکل
treaty	معاهده
turn	نوبت
مکانیک	مکانیک کوانتوم
wonder	تعجب کردن
lip	لو
sell	فرختن
dad	ببا
fourteen	۱۴
louse	پش
duck	بەت
donkey	خەر
white	سفی
Varuzhan	واروژان
laugh	خندسن
nice	دلپذیر
boyfriend	دوست‌پسر
little boy	پسربچه
little girl	دختربچه
shine	تابیدن
pepper	مرچ
tongue	زوان
bug	باگ
doggy	هاپو
sign	علامت
علامت	علامت جمع
علامت	علامت مساوی
علامت	علامت منها
original	اصیل
big	درشت
microscope	ریزبین
masterpiece	شاهکار
sure	یقین
equal	برابر
neighbour	همساده
pour	رختن
side	ور
tent	گیان
colostrum	ماک
pepper	پلپل
cleft	جر
wheat	گنم
midwife	ماما
missile	موشک
camel	اشتر
Macedonia	مقدونیه
happy	خرسند
acerb	گس
francolin	دراج
face	دیم
tomb	مزار
pipestem	چبوق
dagger	خنجر
formation	تشکیل
Martian	بهرامی
Canopus	پرک
wall	دیوال
Ramin	رامین
three-dimensional	سه‌بعدی
legislator	قانون‌گذار
internship	کارورزی
notice board	تابلوی اعلانات
جنوبی	آفریقای جنوبی
live	زیویدن
make alive	زیواندن
survive	برزیستن
Alinejad	علی‌نژاد
horseshoe	نعل
ready	تیار
trunk	شنگ
once again	یک بار دیگر
approach	نزدیک شدن به
eyalet	ایالت
bitterly	زار زار
good	نیک
Zoroastrian	زرتشتی
thought	اندیشه
tribulation	محنت
dark-skinned	زنگی
Zanzibar	زنگبار
Passover	فصح
شروع	شروع کردن
meeting	ملاقات
seized	مضبوط
کر	کر کردن
pooh	ایواه
flee	گرختن
desert	سزا
voice	واک
magnificent	عظیم
saoshyant	سوشیانس
saoshyant	سوشینت
saoshyant	سوشیانت
Hooman	هومن
born	متولد
leg	پو
cotton	پمه
tub	تغار
storehouse	تجر
tongue	زوو
eyelash	مجگ
condition	وض
neck	جزگ
accent	لوظ
accent	لبظ
boy	پسی
barn	گاش
desire	کوم
shovel	بیل
pulse	نبض
disease	مرض
beak	کلپ
voice	بانگ
Hakakian	حکاکیان
boar	گراز
curl	گرس
Pahlavi	پهلوی
guard	پاسدار
Tajbakhsh	تاجبخش
successful	کامران
Pebdani	پبدنی
Farnush	فرنوش
