Հայաստանի	Հայաստանի Հանրապետություն
Henrik	Հենրիկ
epic	էպոս
booth	խցիկ
flowers	ծաղկունք
particle	մասնիկ
tiny	փոքրիկ
alligator	ալիգատոր
literature	գրականություն
Astghik	Աստղիկ
Dzvik	Ձվիկ
Husik	Հուսիկ
public	բազմություն
wisdom	իմաստություն
structure	կազմություն
bigness	մեծություն
bravery	քաջություն
Obama	Օբամա
Kremlin	Կրեմլ
Koryun	Կորյուն
snowdrop	ձնծաղիկ
ձյուն	ձյուն գալ
causative	-ցն-
causative	-ացն-
causative	-եցն-
infix	միջածանց
-less	ապ-
un-	դժ-
throw	գցել
ական	ական-ծուղակ
trap	ծուղակ
cocktail	կոկտեյլ
gondola	գոնդոլ
coming	գալուստ
Galust	Գալուստ
hiding place	թաքուստ
loss	կորուստ
democracy	ժողովրդավարություն
democracy	դեմոկրատիա
advice	խորհուրդ
vision	տեսիլ
suburb	արվարձան
do	զբաղվել
bourbon	բուրբոն
sweater	սվիտեր
striped	պալասատովի
backgammon	նարտ
backgammon	տապեղ
thigh	ազդր
thigh	բուդ
thighbone	ազդրոսկր
dumb	համր
kofta	քյուֆթա
kibbeh	իշլի քյուֆթա
sword	վաղր
coffin	դագաղ
empress	կայսրուհի
empire	կայսրություն
Roman Empire	Հռոմեական Կայսրություն
Roman	հռոմեական
imperialism	իմպերիալիզմ
imperialism	կայսերապաշտություն
imperialist	կայսերապաշտ
imperialist	իմպերիալիստ
imperialistic	կայսերապաշտական
imperialistic	իմպերիալիստական
bank	եզր
corncob	կողր
Urartian	ուրարտական
Urartian	ուրարտերեն
Urartian	ուրարտացի
Anatolia	Անատոլիա
Rock Paper Scissors	չինգաչունգ
Ctesiphon	Տիզբոն
systematize	համակարգել
kilogram	կիլո
shekel	շեկել
lari	լարի
dollar	դոլար
euro	եվրո
mark	մարկ
Mark	Մարկ
peso	պեսո
pound sterling	ֆունտ ստեռլինգ
yen	յեն
yuan	յուան
dirham	դիրհամ
craftsman	ճոն
milliner	գլխարկագործ
element	տարր
elements	տարերք
Vishnu	Վիշնու
Hinduism	հինդուիզմ
Shiva	Շիվա
Krishna	Կրիշնա
Hindi	հնդկերեն
urinary bladder	միզապարկ
kidney	պլոճիկ
prostate gland	շագանակագեղձ
sacrum	սրբոսկր
alcoholic	ալկոհոլիկ
alkie	ալկաշ
alcoholic	ալկոհոլային
organism	օրգանիզմ
communism	կոմունիզմ
capitalism	կապիտալիզմ
feudalism	ֆեոդալիզմ
vassal	վասալ
feudal	ֆեոդալ
feudal	ֆեոդալական
Marxism	մարքսիզմ
Leninism	լենինիզմ
Stalinism	ստալինիզմ
Trotskyism	տրոցկիզմ
communist	կոմունիստ
communist	կոմունիստական
political party	կուսակցություն
party	փարթի
anarchism	անարխիզմ
Nazism	նացիզմ
Protestantism	բողոքականություն
agnosticism	ագնոստիցիզմ
agnostic	ագնոստիկ
atheism	աթեիզմ
atheist	աթեիստ
mountain climbing	ալպինիզմ
mountaineer	ալպինիստ
Buddhism	բուդդիզմ
Buddhism	բուդդայականություն
Darwinism	դարվինիզմ
idealism	իդեալիզմ
liberalism	լիբերալիզմ
humanism	հումանիզմ
materialism	մատերիալիզմ
mechanism	մեխանիզմ
tourism	տուրիզմ
cynicism	ցինիզմ
spring	ակունք
haw	ալոճ
hawthorn	ալոճենի
allergy	ալերգիա
energy	էներգիա
flour	ալյուր
electron	էլեկտրոն
atom	ատոմ
nucleon	նուկլոն
quark	քվարկ
physicist	ֆիզիկոս
chemist	քիմիկոս
տարրական	տարրական մասնիկ
lepton	լեպտոն
boson	բոզոն
ion	իոն
anion	անիոն
cation	կատիոն
anode	անոդ
cathode	կաթոդ
electrode	էլեկտրոդ
electrolysis	էլեկտրոլիզ
positron	պոզիտրոն
phonon	ֆոնոն
photon	ֆոտոն
neutrino	նեյտրինո
muon	մյուոն
meson	մեզոն
hadron	հադրոն
graviton	գրավիտոն
gluon	գլյուոն
fermion	ֆերմիոն
baryon	բարիոն
antiparticle	հակամասնիկ
monomer	մոնոմեր
polymer	պոլիմեր
champion	չեմպիոն
modem	մոդեմ
Internet	ինտերնետ
Internet	համացանց
net	ցանց
Eurovision	Եվրատեսիլ
Euro-	եվրա-
unicorn	միեղջյուր
Copt	ղպտի
Coptic	ղպտիական
Coptic	ղպտիերեն
unripe	ազոխ
tuberculosis	թոքախտ
tuberculosis	տուբերկուլյոզ
pneumonia	թոքաբորբ
pneumonia	թոքերի բորբոքում
inflammation	բորբոքում
jaundice	դեղնախտ
genre	ժանր
plague	ժանտախտ
diabetes	շաքարախտ
diabetes	դիաբետ
համակարգչային	համակարգչային վիրուս
computer	համակարգչային
furrow	ակոս
fear	ահ
somewhat	-ավուն
yellowish	դեղնավուն
sweetish	քաղցրավուն
grayish	գորշավուն
oblong	երկարավուն
dampish	խոնավավուն
greenish	կանաչավուն
bluish	կապտավուն
shortish	կարճավուն
reddish	կարմրավուն
roundish	կլորավուն
oldish	հնավուն
dryish	չորավուն
coldish	սառնավուն
whitish	սպիտակավուն
blackish	սեւավուն
dullish	տաղտկավուն
warmish	տաքավուն
coldish	ցրտավուն
Viking	վիկինգ
tango	տանգո
waltz	վալս
samba	սամբա
belly dance	պորտապար
discotheque	դիսկոտեկ
flamenco	ֆլամենկո
foxtrot	ֆոքստրոտ
kochari	քոչարի
jive	ջայվ
lambada	լամբադա
mambo	մամբո
mazurka	մազուրկա
polka	պոլկա
gavotte	գավոտ
folk dance	ժողովրդական պար
national	ժողովրդական
cancan	կանկան
twist	թվիստ
rumba	ռումբա
emerald	զմրուխտ
light bulb	էլեկտրական լամպ
electric	էլեկտրական
light bulb	լամպուշկա
invasion	արշավանք
cyclone	ցիկլոն
anticyclone	անտիցիկլոն
typhoon	թայֆուն
encephalitis	էնցեֆալիտ
meningitis	մենինգիտ
malaria	մալարիա
headache	գլխացավ
poliomyelitis	պոլիոմիելիտ
brucellosis	բրուցելոզ
anthrax	սիբիրախտ
cholera	խոլերա
microbe	մանրէ
microbe	միկրոբ
microorganism	միկրոօրգանիզմ
zoological	կենդանաբանական
կենդանաբանական	կենդանաբանական այգի
madhouse	գժանոց
heroine	հերոսուհի
heroic	հերոսական
heroically	հերոսաբար
heroism	հերոսություն
heroin	հերոին
cocaine	կոկաին
driver	շոֆեր
Merv	Մերվ
Amu Darya	Ամուդարյա
Dervish	դերվիշ
Almaty	Ալմաթի
Alma-Ata	Ալմա Աթա
aggression	ագրեսիա
Ալեքսանդր	Ալեքսանդր Մակեդոնացի
Macedonian	մակեդոնացի
Alan	ալան
alibi	ալիբի
Al Jazeera	Ալ Ջազիրա
pressure	ճնշում
pencil	մատիտ
pen	գրիչ
felt-tip pen	ֆլոմաստեր
felt-tip pen	ֆլոմ
prosthesis	պրոթեզ
Cossack	կազակ
sharpener	սրիչ
sharpen	սրել
Cafesjian	Գաֆեսճյան
fence	չափար
Chaparian	Չափարյան
reason	պատճառ
entire	ամբողջ
swastika	սվաստիկա
Ecbatana	Եկբատան
Rioni	Ռիոն
whole number	ամբողջ թիվ
natural	բնական
natural number	բնական թիվ
irrational number	իռացիոնալ թիվ
irrational	իռացիոնալ
rational	ռացիոնալ
rational number	ռացիոնալ թիվ
real number	իրական թիվ
real	իրական
imaginary number	կեղծ թիվ
complex number	կոմպլեքս թիվ
prime number	պարզ թիվ
whole	ամբողջություն
rat	կռիս
meanness	կռիսություն
կղզիներ	Բրիտանական կղզիներ
kingdom	թագավորություն
alive	սաղ
deoxyribonucleic acid	դեզօքսիռիբոնուկլեինաթթու
DNA	ԴՆԹ
unscathed	սաղ-սալամաթ
unscathed	սաղլամ
life	սաղանալ
life	սաղացնել
Abajyan	Աբաջյան
Babajanian	Բաբաջանյան
swelling	այտուց
carpenter	դուրգար
Durgaryan	Դուրգարյան
petrol	բենզին
Grigoryan	Գրիգորյան
herbage	արոտ
pasture	արոտավայր
indirect tax	բաժ
luck	բախտ
altar	բագին
unhappy	դժբախտ
dinar	դինար
breakfast	նախաճաշել
breakfast	զավտրիկ
ճաշակին	ճաշակին ընկեր չկա
boomerang	բումերանգ
serious	լուրջ
seriousness	լրջություն
terrorism	ահաբեկչություն
terrorism	տեռորիզմ
terroristic	ահաբեկչական
terrorist	տեռորիստ
terroristic	տեռորիստական
intelligentsia	մտավորականություն
marry	ամուսնանալ
wed	ամուսնացնել
princess	արքայադուստր
prince	արքայազն
earthquake	գետնաշարժ
thickness	հաստություն
Christ	Քրիստոս
that	այդ
anthropologist	մարդաբան
anthropological	մարդաբանական
botanical garden	բուսաբանական այգի
psychological	հոգեբանական
arithmetical	թվաբանական
arithmetician	թվաբան
psychologist	հոգեբան
botanist	բուսաբան
geologist	երկրաբան
geologic	երկրաբանական
theologian	աստվածաբան
theology	աստվածաբանություն
theological	աստվածաբանական
linguist	լեզվաբան
linguistic	լեզվաբանական
linguistics	լեզվաբանություն
pathologist	ախտաբան
biologist	կենսաբան
mineralogist	հանքաբան
phonetician	հնչյունաբան
ichthyologist	ձկնաբան
microbiologist	մանրէաբան
entomologist	միջատաբան
osteologist	ոսկրաբան
meteorologist	օդերեւութաբան
pathological	ախտաբանական
biological	կենսաբանական
mineralogical	հանքաբանական
phonetic	հնչյունաբանական
ichthyological	ձկնաբանական
microbiological	մանրէաբանական
entomological	միջատաբանական
meteorologic	օդերեւութաբանական
հորիզոն	իրադարձությունների հորիզոն
pathology	ախտաբանություն
mineralogy	հանքաբանություն
ichthyology	ձկնաբանություն
microbiology	մանրէաբանություն
entomology	միջատաբանություն
meteorology	օդերեւութաբանություն
rum	ռոմ
beer	պիվա
together	միասնաբար
together	միասին
apart	առանձին
astrophysics	աստղաֆիզիկա
biophysics	կենսաֆիզիկա
junta	խունտա
wordlist	բառացանկ
collocation	բառակապակցություն
pun	բառախաղ
word formation	բառակազմություն
prison	բանտ
imprison	բանտարկել
imprisonment	բանտարկություն
compound sentence	բարդ նախադասություն
simple sentence	պարզ նախադասություն
compound word	բարդ բառ
group	բույլ
brilliant	աստղաբույլ
mud	գայռ
bad news	գույժ
novelty	նորություն
trial	դատ
sujuk	սուջուխ
sausage	կալբաս
frankfurter	սասիսկի
bistro	բիստրո
Golden Fleece	ոսկե գեղմ
fleece	գեղմ
moving	երթ
march	քայլերգ
marching	քայլերթ
parade	շքերթ
go	երթալ
էթա՛	էթալ
route	երթուղի
route	մարշրուտ
marshrutka	մարշրուտկա
marshrutka	երթուղային տաքսի
route	երթուղային
marshrutka	մարշրուտնի
flight	չվերթ
Taliban	Թալիբան
al Qaeda	Ալ Ղաիդա
long	երկայն
Taliban	թալիբ
arm	երկայնաբազուկ
prolix	երկայնաբան
fear	երկյուղ
family	զարմ
vigilant	զգոն
vigilance	զգոնություն
conscience	խիղճ
expectorate	խորխել
chink	խորշ
gulf	ծովախորշ
gulf	ծովածոց
niche	որմնախորշ
slap	սիլլա
carpenter	նաջար
profession	-չի
Tutunjyan	Թութունջյան
tobacco	թութուն
Semerjyan	Սեմերջյան
perineum	շեք
lechery	շնություն
Barack	Բարաք
jeep	ջիպ
vagina	հեշտոց
easy	հեշտ
cervix	արգանդի վզիկ
gonad	գոնադ
ovary	ձվարան
ovum	ձվաբջիջ
cell	բջիջ
gamete	գամետ
սեռական	սեռական բջիջ
sexual	սեռական
sexual	սեռական օրգան
oviduct	ձվատար
spermatozoon	սպերմատոզոիդ
spermatozoon	սերմնաբջիջ
semen	սերմնահեղուկ
sperm	սպերմա
embryo	սաղմ
parenchyma	պարենքիմ
vas deferens	սերմնածորան
duct	ծորան
seminal vesicle	սերմնաբուշտ
seminal vesicle	սերմնաբշտիկ
կոճղեզ	կոճղեզ-միզուկային գեղձ
գեղձ	կուպերյան գեղձ
urethra	միզուկ
urethral	միզուկային
testicle	պլոր
Fallopian tube	արգանդափող
ֆալոպյան	ֆալոպյան փող
clitoris	ծլիկ
vulva	բունոց
vulva	ամոթույք
smog	սմոգ
Vulgar Latin	ժողովրդական լատիներեն
Ամերիկա	Լատինական Ամերիկա
Latin	լատինական
Milan	Միլան
Torino	Թուրին
Florence	Ֆլորենցիա
Corsica	Կորսիկա
թերակղզի	Ապենինյան թերակղզի
Apennine	ապենինյան
Apennines	Ապենիններ
Andes	Անդեր
noble gas	ազնիվ գազ
noble gas	իներտ գազ
inert	իներտ
wax	մոմ
moat	խրամ
trench	խրամատ
sick	խոթ
sick	խոթություն
tip	ծայր
red	ծայրակարմիր
acropolis	ծայրաքաղաք
meeting	ծանոթություն
jaw	չանա
tongs	կայծառ
need	կարոտ
method	կերպ
proud	հպարտ
pride	հպարտություն
pedlar	չարչի
petty	չարչիություն
typewriter	գրամեքենա
syringe	ներարկիչ
syringe	շպրից
speech	ճառ
supermarket	սուպերմարկետ
yoghurt	յոգուրտ
support	մույթ
yard	յարդ
drinking straw	ձողիկ
chaff	հարդ
join	զոդ
join	զոդել
riding horse	նժույգ
smoothness	ողորկություն
combine	կոմբայն
tonsil	գլանդ
tonsil	նշիկ
tonsil	նշագեղձ
abdomen	որովայն
abdominal cavity	որովայնի խոռոչ
hollow	խոռոչ
loaf	պան
fit	սազել
due	պատշաճ
misfortune	պատուհաս
prepared	պատրաստ
unready	անպատրաստ
extempore	հանպատրաստից
readiness	պատրաստություն
superb	պերճ
Perch	Պերճ
chandelier	լյուստրա
prohibition	սաստ
reading room	ընթերցասրահ
read	ընթերցել
foyer	ճեմասրահ
foyer	ֆոյե
atrium	նախասիրտ
precondition	նախապայման
vestibule	նախասրահ
lobby	լոբբի
waiting room	սպասասրահ
dance hall	պարասրահ
concert hall	համերգասրահ
concert	համերգ
auditorium	հանդիսասրահ
throne room	գահասրահ
dining hall	ճաշասրահ
casino	կազինո
casino	խաղատուն
gambling house	խաղասրահ
exhibition	ցուցասրահ
drawing room	հյուրասրահ
sports hall	մարզասրահ
valuable	վեհ
vizier	վեզիր
grandeur	վեհություն
work	բանել
worker	բանվոր
safe	անվտանգ
sight	թամաշա
spectacle	տեսարան
couch	տախտ
sofa	բազմոց
throne	թախտ
doubt	տարակույս
trick	օյին
clown	օյինբազ
trickery	օյինբազություն
gang	թայֆա
hyphenation	տողադարձ
act	արար
morbific	ախտարար
action	արարք
creator	արարիչ
sheen	փաղփ
Paylak	Փայլակ
thin	չոփ
so	փաստորեն
քե՛լ	քելել
let's	քել
let's	դավայ
he-goat	քոշ
spending	օթ
