where	on
let's say	diguéssim
drape	caient
absent-minded	distret
due	degut
hot	coent
pleasant	plaent
learner	aprenent
consideration	atès
remaining	romanent
milkshake	batut
promethium	prometi
running	corrent
rustle	cruixit
successful	reeixit
reef	escull
consecutive	seguit
fun	divertit
covered	cobert
thankful	agraït
hurt	ferit
resistence	aguant
threat	amenaça
so-called	anomenat
dirty	cagat
tired	cansat
married	casat
slovenly	deixat
décolleté	escotat
awaited	esperat
dear	estimat
praise	lloa
marked	marcat
improvement	millora
necessity	necessitat
prick	pixa
together	plegat
air	posat
representative	representant
affirmation	afirmació
closed	tancat
taut	tibant
condom	condó
used	usat
willow	salze
feeding	alimentació
pilgrim	pelegrí
Roussillon	Cànoes
kidney	ronyó
legend	llegenda
office	ofi
tyrant	tirà
tenir present	tenir present
per sort	per sort
Roussillon	Cotlliure
Roussillon	Illa
Roussillon	Montner
Roussillon	Pollestres
Roussillon	Pontellà
Roussillon	Salses
Roussillon	Tuïr
Roussillon	Vingrau
Roussillon	Vivers
Roussillon	Torderes
Roussillon	Tesà
unenthusiastic	displicent
nose	mocar
blow one's nose	mocar-se
hat	barret
pioneering	pioner
cigar	cigarrer
imperfect	imperfecte
harness	arnès
reign	regnar
float	surar
pump	bombar
mule	mular
scrape	raspat
dare	gosar
sex	sexar
burn	blandar
hoist	hissar
Demiurge	demiürg
neither	tampoc
advise	aconsellar
so	per tant
mistake	equivocar-se
manner	aixà
detach	desprendre
come off	desprendre's
scratch	gratar
quiet	callat
shave	afaitar
shave	afaitar-se
I'm hungry	tinc gana
estic cansat	estic cansat
estic cansada	estic cansada
estic malalt	estic malalt
estic malalta	estic malalta
good evening	bon vespre
good afternoon	bona tarda
bona nit	bona nit
necessito diners	necessito diners
allusive	al·lusiu
estic constipat	estic constipat
estic refredat	estic refredat
monk	monjo
tot i que	tot i que
whole	sencer
ant	formiguer
termite	termiter
swarm	mosquer
transgender	transgènere
transgenderism	transgenerisme
transsexuality	transsexualitat
discovered	descobert
church	església
castell	enxaneta
aunt	tieta
swim	nedar
presenter	locutor
ophthalmologist	oftalmòleg
Barcelonan	barceloní
film	pel·lícula
meagre	reig
dishonest	deshonest
payment	pagament
use	emprar
draft	esborrany
folklorist	folklorista
fraternization	confraternització
vegetation	vegetació
phlegmatic	flegmàtic
obligation	a la taula i al llit, al primer crit
you make the bed you lie in	tal faràs, tal trobaràs
clash	xoc
rite	ritu
refuge	refugi
refugee	refugiat
estic refredada	estic refredada
estic constipat	estic constipada
Catalan	no parlo català
I don't speak English	no parlo anglès
I need food	necessito menjar
vegetarian	vegetarià
I'm a vegetarian	sóc vegetarià
I'm a vegetarian	sóc vegetariana
I don't eat meat	no menjo carn
I don't eat fish	no menjo peix
I don't eat pork	no menjo carn de porc
I need a doctor	necessito un metge
sóc bisexual	sóc bisexual
sóc homosexual	sóc homosexual
sóc heterosexual	sóc heterosexual
estic perdut	estic perdut
I'm lost	estic perduda
I need a map	necessito un mapa
necessito un taxi	necessito un taxi
com arribo a	com arribo a
I need a guide	necessito un guia
I need a guide	necessito una guia
com arribo a l'aeroport	com arribo a l'aeroport
com arribo a l'estació d'autobusos	com arribo a l'estació d'autobusos
com arribo a l'estació de trens	com arribo a l'estació de trens
cap a on va aquest autobus	cap a on va aquest autobus
cap a on va aquest tren	cap a on va aquest tren
where can I find a hotel	on puc trobar un hotel
snowy	nevat
pity	llàstima
lean	recolzar
half	meitat
chorizo	xoriço
mosquito	mosquit
sneeze	esternut
unicellular	unicel·lular
organelle	orgànul
cellular	cel·lular
microscopic	microscòpic
lead	plom
wish	desitjar
animadversion	animadversió
idiolect	idiolecte
cradle	bres
intransitive	intransitiu
transitive	transitiu
opinion	opinió
facade	façana
façade	fatxada
meal	àpat
smell	flairar
intempestively	intempestivament
acrophobia	acrofòbia
agoraphobia	agorafòbia
artificially	artificialment
circumspect	circumspecte
sceptical	escèptic
intempestivity	intempestivitat
whim	antull
caprice	capritx
polytheism	politeisme
pantheon	panteó
balena blava	balena blava
charcoal burner	blava
color primari	color primari
ironically	irònicament
intempestive	intempestiu
inflammable	inflamable
haver	haver-hi
prendre el seu temps	prendre el seu temps
prendre's el seu temps	prendre's el seu temps
no passa res	no passa res
pill	comprimit
ideogram	ideograma
monastery	monestir
Horta Nord	Alboraia
Alcalà de Xivert	Alcossebre
citadel	ciutadella
Albuixech	Albuixec
Horta Sud	Alcàsser
Valencian Community	Comunitat Valenciana
Roussillon	El Voló
Costera	Alcúdia de Crespins
Camp de Túria	Eliana
Camp de Túria	Pobla de Vallbona
Valencian Community	Camp de Túria
Valencian Community	Costera
Valencian Community	Horta Nord
bridle	embridar
edaphic	edàfic
galaxy	galàxia
muddy	fangós
trough	buida
Basque	èuscar
ebony	banús
cylindrical	cilíndric
you don't look a gift horse in the mouth	a cavall regalat, no li miris el dentat
l'	l'Alguer
you are what you eat	ets el que menges
proverb	refrany
paroemia	parèmia
simulator	simulador
crab	carranc
explanation	explicació
centrally	centralment
permanently	permanentment
reputation	reputació
happily	feliçment
tired	fatigat
classification	classificació
stegosaur	estegosaure
blind	cec
cuc de seda	cuc de seda
numerous	nombrós
zygote	zigot
gamete	gàmeta
allele	al·lel
work	treball
work	treballar
cuneiform	cuneïforme
unlikeliness	inversemblança
oliva verda	oliva verda
oliva negra	oliva negra
squash	esquaix
trivet	sitiet
Bosnia	Bòsnia
corrode	corroir
corrosion	corrosió
Aragon Strip	Franja de Ponent
Aragon Strip	Franja d'Aragó
Catalan Countries	Països Catalans
Valencian Community	País Valencià
luck	atzar
sincere	sincer
serious	seriós
sadness	tristesa
emotion	emoció
grapheme	grafema
phosphorus	fòsfor
scandium	escandi
vanadium	vanadi
manganese	manganès
gallium	gal·li
arsenic	arsènic
selenium	seleni
krypton	criptó
rubidium	rubidi
strontium	estronci
molybdenum	molibdè
technetium	tecneci
ruthenium	ruteni
palladium	pal·ladi
tellurium	tel·luri
cesium	cesi
lanthanum	lantani
neodymium	neodimi
europium	europi
terbium	terbi
dysprosium	disprosi
holmium	holmi
ytterbium	iterbi
lutetium	luteci
hafnium	hafni
tantalum	tàntal
tungsten	tungstè
osmium	osmi
platinum	platí
mercury	mercuri
thallium	tal·li
polonium	poloni
astatine	àstat
radon	radó
actinium	actini
protactinium	protoactini
neptunium	neptuni
mendelevium	mendelevi
lawrencium	laurenci
copernicium	copernici
bishop	bisbe
password	contrasenya
motivation	motivació
commit	cometre
Roussillon	Pià
Roussillon	Clairà
corrupt	corrupte
borrowing	barbarisme
army	exèrcit
patriarchy	patriarcat
pay	subvenir
fighting	combatent
sadness	tristor
Christmas Eve	nit de Nadal
wash	llavar
atrocious	atroç
galvanization	galvanització
Aragonese	aragonès
sport	esport
dissuade	dissuadir
distinctive	distintiu
box	boxar
albinism	albinisme
fornicate	fornicar
rhinoceros	rinoceront
shoot	sarment
caring	solidari
load	carregar
fatalistic	fatalista
disconcert	desconcertar
impetuous	impetuós
Lithuanian	lituà
circumnavigate	circumnavegar
circumnavigation	circumnavegació
bounce	botre
friendship	amistat
island	illenc
ahead	davant
rage	fúria
printer	impressora
fix	fixar
derivation	derivació
vociferation	vociferació
daily	quotidià
sedition	sedició
masochism	masoquisme
fabulous	fabulós
hereditary	hereditari
contumelious	contumeliós
settle down	apalancar
chameleon	camaleó
marvelous	meravellós
crockery	vaixella
dishwashing	escurada
wash up	escurar
numeral	xifra
camaraderie	camaraderia
Latin American	llatinoamericà
courageous	coratjós
Arabic	àrab
quarterdeck	alcàsser
Mozarab	mossàrab
Mudéjar	mudèjar
lycanthrope	licantrop
werewolf	home llop
gira	gira-sol
carousel	carrussel
per cert	per cert
logical	lògic
logic	lògica
Ivorian	ivorià
brawl	avalot
stir	gatzara
uproar	brogit
stir	cridòria
uproar	esvalot
stir	aldarull
stir	rebombori
commotion	commoció
llenguatge de màquina	llenguatge de màquina
machine	màquina
language	llenguatge
fer caput	fer caput
infarct	infart
German Shepherd	pastor alemany
police dog	gos policia
cellar	celler
howl	udolar
centavo	centau
ladybug	marieta
faggot	maricó
longsword	espasa llarga
titubate	titubar
titubate	titubejar
arrogance	arrogància
pride	supèrbia
pompous	pompós
zoanthropy	zoantropia
zoœcium	zoeci
zoochore	zoocor
zwitterion	zwitterió
Zouave	zuau
signature	signatura
carafe	marraixa
antepenultimate	antepenúltim
penultimate	penúltim
dysphoria	disfòria
mansuetude	mansuetud
duelist	duelista
surplus	superàvit
flavonoid	flavonoide
lead	conduir
industrialize	industrialitzar
democratize	democratitzar
carat	quirat
orality	oralitat
sesame	sèsam
camphor	càmfora
alone	tot sol
southeast	xaloc
snow	congesta
coat	abric
tot i així	tot i així
tot i això	tot i això
taboo	tabú
tamer	domador
bind	travar
collegiate	col·legiat
colleague	col·lega
collegial	col·legial
freedom	llibertat
djellaba	gel·laba
office	despatx
complete	despatxar
Apocalypse	apocalipsi
home	llar
homophobia	homofòbia
anthropophobia	antropofòbia
apophthegm	apotegma
cotton	cotó
derogatory	despectiu
pejorative	pejoratiu
join	ingressar
antediluvian	antediluvià
bite	mossegar
forged	forjat
profiteer	mossega
hunting	cacera
terrace	terrassa
eagle	àguila
summarise	compendiar
bull	butlla
papal bull	butlla papal
expression	expressió
lorry	camió
indifferent	indiferent
garland	garlanda
conceptualise	conceptualitzar
sagacity	sagacitat
border	sanefa
produce	produir
pig	figatell
bipolar disorder	trastorn bipolar
annoyance	fellonia
baker	forner
sandwich	sandvitx
armistice	armistici
serrated	serrat
abyss	abisme
Plato	Plató
platonic	platònic
Platonism	platonisme
platonic love	amor platònic
pardon	remetre
emancipate	emancipat
gecko	dragó
colossus	colós
exotoxic	exotòxic
endotoxic	endotòxic
microorganism	microorganisme
Titan	Tità
titan	tità
sandwich	entrepà
safe-conduct	salconduit
anthropomorphism	antropomorfisme
adapter	adaptador
hippopotamus	hipopòtam
chimpanzee	ximpanzé
obey	obeir
flood	inundació
hole	foia
defenestration	defenestració
figuratively	figurativament
zodiac	zodíac
ecliptic	eclíptica
ecliptical	eclíptic
tendencious	tendenciós
adhesive	adhesiu
sticker	enganxina
slave	esclau
wire	fil d'aram
wire	filferro
physically	físicament
phonendoscope	fonendoscopi
physiological	fisiològic
clam	cloïssa
violently	violentament
decease	defunció
boy	xaval
arachnid	aràcnid
unfavorable	desfavorable
aerospatial	aeroespacial
obelisk	obelisc
conjugation	conjugació
prosperous	pròsper
suppose	suposar
asymmetric	asimètric
immigrate	immigrar
marry	casar-se
continuously	contínuament
in front of	enfront de
only	únicament
only	solament
refined	refinat
cleaning	neteja
office	ofici
damage	danyar
donation	donació
animation	animació
ironic	irònic
velocitats d'escapament	velocitats d'escapament
New World Order	Nou Ordre Mundial
telephone	telèfon
laser	làser
monochromatic	monocromàtic
organization	organització
extremophilic	extremòfil
toponymy	toponímia
toponymic	toponímic
abecedary	abecedari
area	àrea
yellowness	grogor
blueness	blavor
al costat de	al costat de
pseudonym	pseudònim
pseudopod	pseudòpode
judge	jutjar
alienation	alienació
ethnocentrism	etnocentrisme
tuna	tonyina
tap	aixeta
court	jutjat
rent	lloguer
rent	llogar
include	incloure
included	inclòs
molt de gust	molt de gust
expressive	expressiu
depressive	depressiu
oppressive	opressiu
aggressive	agressiu
euphoria	eufòria
anxiety	ansietat
obesity	obesitat
curt	xato
pug nose	nas xato
Pyrenees	Pirineus
mean	mitjana
a causa de	a causa de
Catholicism	catolicisme
Philip	Felip
tourism	turisme
touristic	turístic
occupation	ocupació
peseta	pesseta
prudence	prudència
mountainous	muntanyós
height	alçada
landscape	paisatge
mountaineering	muntanyisme
mountain bike	bicicleta de muntanya
poet's daffodil	grandalla
chamois	isard
wild boar	senglar
wild boar	porc senglar
lammergeyer	trencalòs
biological	biològic
signal	senyalar
Greenland	Grenlàndia
ticket	bitllet
trophy	trofeu
bless	beneir
genealogically	genealògicament
fuck	fotre
Republic of Ireland	República d'Irlanda
quail	guatlla
synonym	sinònim
link	enllaç
public domain	domini públic
pretty	encisador
inside	endins
practising	practicant
run through	recórrer
freely	lliurement
parish	parròquia
ethnographic	etnogràfic
mammography	mamografia
Gallo-Roman	gal·loromà
vivacious	vivaç
vitality	vitalitat
dehorn	escornar
bad	fotut
route	recorregut
bitterly	amargament
synthesis	síntesi
bagatelle	bagatel·la
lengthen	allargar
shortly	d'aquí poc
expiate	expiar
pinna	aurícula
eternal	etern
Cantonese	cantonès
shower	dutxa
shower	dutxar
shower	dutxar-se
intersexuality	intersexualitat
hermaphroditism	hermafroditisme
pseudohermaphroditism	pseudohermafroditisme
pseudohermaphrodite	pseudohermafrodita
daily	diàriament
weekend	cap de setmana
or	o bé
taste	assaborir
unforgettable	inoblidable
forgettable	oblidable
location	ubicació
wake up	desvetllar
bend	trinxat
slice	trinxar
Oceanus	Oceà
meow	miolar
meow	miol
Morocco	Marroc
Judas	judes
devour	empapussar-se
feed	empapussar
inch	polzada
arachnophobia	aracnofòbia
rearguard	rereguarda
stupid	estúpid
imbecile	imbècil
Northern Catalonia	Vallespir
Vallespir	Serrallonga
Vallespir	Tec
Vallespir	Menera
Vallespir	Costoja
Vallespir	Montferrer
Vallespir	Montboló
Vallespir	Cortsaví
Vallespir	Pertús
Vallespir	Prats de Molló i la Presta
Vallespir	Morellàs i les Illes
Northern Catalonia	Albera
Vallespir	Reiners
Vallespir	Arles
Vallespir	Sant Joan de Pladecorts
Vallespir	Sant Llorenç de Cerdans
Vallespir	Cluses
Vallespir	Banys i Palaldà
Vallespir	Ceret
Alaior	Menorca
ambulance	ambulància
nau espacial	nau espacial
tricycle	tricicle
toy	joguina
Ibiza	Santa Eulària des Riu
Ibiza	Sant Antoni de Portmany
Ibiza	Sant Joan de Labritja
Ibiza	Sant Josep de sa Talaia
ominous	ominós
empress	emperadriu
Fenouillèdes	Fenolleda
Northern Catalonia	Capcir
rabiosa	Font-rabiosa
Capcir	Formiguera
Capcir	Llaguna
Capcir	Matamala
Capcir	Puigbalador
Capcir	Real
Valencian Community	Racó d'Ademús
Valencian Community	Serrans
Valencian Community	Plana d'Utiel
Valencian Community	Foia de Bunyol
Valencian Community	Alt Millars
Valencian Community	Alt Palància
Valencian Community	Canal de Navarrés
Catalonia	Alta Ribagorça
Alta Ribagorça	Vilaller
Alta Ribagorça	Vall de Boí
irruption	irrupció
plurality	pluralitat
cutaneous	cutani
subcutaneous	subcutani
adulation	adulació
phlegm	flegma
theocracy	teocràcia
ataraxy	ataràxia
amplifier	amplificador
nombre atòmic	nombre atòmic
taula periòdica	taula periòdica
constellation	constel·lació
gas noble	gas noble
manumit	manumetre
Francoism	franquisme
creativity	creativitat
creative	creatiu
philosopher	filòsof
smell	olorar
first	primerament
thwart	trast
according to	segons
relevance	rellevància
artifact	artefacte
bigamy	bigàmia
languid	lànguid
democratic	democràtic
Ophiuchus	Serpentari
Pisces	Peixos
libation	libació
doubt	dubte
doubt	dubtar
roast	rostir
declension	declinació
coup d'état	cop d'estat
compassion	compassió
goodness	bondat
neologism	neologisme
nice	simpàtic
get up	llevar-se
wrap	embolicar
systematically	sistemàticament
archetypal	arquetípic
archetype	arquetip
leaven	llevat
portable	portàtil
illegitimate	espuri
falsify	falsejar
secrecy	secretisme
sick	marejar
escalope	escalopa
European Union	Unió Europea
marathon	marató
indignant	indignat
indignation	indignació
indignity	indignitat
materialism	materialisme
date	dàtil
exile	exiliat
exile	exili
zip fastener	cremallera
be	perillar
risk	arriscar
shake off	esbatre
stress	estrès
emphasis	èmfasi
configuration	configuració
soy sauce	salsa de soia
snoop	dotorejar
snooper	dotor
zoospore	zoòspora
antiphon	antífona
