approbatur	A
asswipe	roskalehti
closer	lähempänä
milky white	maidonvalkea
plastered	rapattu
evening shift	iltavuoro
place	tyyssija
make	väsätä
Confederate States of America	etelävaltiot
titillate	kutkuttaa
among	parissa
trounce	löylyttää
tower crane	torninosturi
viikoittain	viikottain
weekly	viikoittainen
weekly	viikkolehti
clock speed	kellotaajuus
bury one's head in the sand	pistää päänsä pensaaseen
silloin tällöin	silloin tällöin
halt	seisauttaa
rascal	hulivili
suoralta kädeltä	suoralta kädeltä
as well	saman tien
unpalatable	pahanmakuinen
plastid	plastidi
tanker	panssarimies
oil lamp	öljylamppu
oiliness	öljyisyys
easy	helpohko
Quechua	ketšua
glove compartment	hansikaslokero
low-pitched repetitive	jurista
aside	sikseen
therefore	näin ollen
distort	vääristyä
socio-economic	yhteiskunnallis-taloudellinen
latter	jälkimmäinen
luck	lykky
bottom	sydänjuuret
dissociative identity disorder	dissosiatiivinen identiteettihäiriö
with all due respect	kaikella kunnioituksella
comb ceramic	kampakeraaminen
spritsail	varpapurje
spritsail	spriipurje
sprit	varpatanko
sprit	spriitanko
apparently	näemmä
blepharospasm	blefarospasmi
chicken shit	kananpaska
beating	selkäsauna
darling	mussukka
solar collector	aurinkokeräin
trap	kaha
intellectual property	immateriaalioikeudet
head office	pääkonttori
isoflavone	isoflavoni
headquarters	pääkallonpaikka
ionophore	ionofori
perm	permanentata
masses of	massoittain
originally	alun pitäen
pub crawl	appro
Jägerbomb	jekkupommi
check	šakata
photocopy	valokopio
soccer team	jalkapallojoukkue
smurf	smurffi
newsletter	uutiskirje
mitä helvettiä	mitä helvettiä
promiscuity	promiskuiteetti
promiscuity	yhteisvaimoisuus
smartphone	älypuhelin
sour cream	kermaviili
deltiology	postikorttien keräily
shelduck	ristisorsa
haberdashery	ompelutarvikkeet
haberdashery	ompelutarvike
unforeseeable	ennalta-arvaamaton
foreseeably	ennustettavasti
wheat dough	pullataikina
skin and bones	luuta ja nahkaa
cramp	vetää suonta
probably	luultavasti
probable	luultava
dismissal	fudut
single transferable vote	siirtoäänivaalitapa
voting system	vaalitapa
standard language	yleiskieli
swot	hikke
wage slave	palkkaorja
self-raising	itsenouseva
equipment	varus
musician	soittoniekka
self-assured	itsevarma
self-absorbed	itseriittoinen
staple remover	niitinpoistaja
stapler	nitoja
staple	nitomanasta
staple	paperiniitti
staple remover	nastanpoistaja
consent	naittaja
novella	lyhytromaani
bain-marie	vesihaude
mincemeat	sekahedelmätäyte
tightening	kiristys
levee	tulvapato
conceited	itserakas
contention	kannanotto
monadelphous	yksikuntainen
unanimously	yksissä tuumin
paring	perkeet
crash course	pikakurssi
wrapped candy	paperikarkki
double-breasted	kaksirivinen
layered	kerrosrakenteinen
tone mark	toonimerkki
aye	jaa-ääni
regarding	suhteen
inaugural offer	avajaistarjous
flashforward	etuuma
over	nurin
particularly	varta vasten
fashion jewelry	muotikoru
regardless of	välittämättä
in the past	menneisyydessä
hat rack	pystynaulakko
microloan	mikroluotto
microloan	mikrolaina
self-evidency	itsestäänselvyys
so-so	niin ja näin
niin kuin	niin kuin
understand	snaijata
near	lähettyvillä
Russophobia	russofobia
Sinophobia	sinofobia
Japanophobia	japanofobia
stepping	astuminen
flaunt	pöyhkeillä
mennä hukkaan	mennä hukkaan
wasted	hukassa
cedilla	sedilji
sweetheart	kultaseni
in place	kohdallaan
seaworthiness	merikelpoisuus
anyway	muutenkin
polynomial equation	polynomiyhtälö
season ticket	kausilippu
Christadelphian	kristadelfialainen
Presbyterian	presbyteerinen
trinitarianism	kolminaisuusoppi
Trinitarian	kolminaisuusopillinen
Arian	areiolainen
Methodist	metodistinen
Socinian	socinolainen
Socinianism	socinolaisuus
cling	tarrautua
frontline	eturivin
bite the hand that feeds you	purra ruokkivaa kättä
I'm not religious	en ole uskonnollinen
Midsummer Day	mittumaari
slick	sliksi
worn-out tyre	silestone
darling	mielitietty
ice pop	mehujääpuikko
dairy product	meijerituote
hot toddy	maitototi
eggnog	munatoti
snowball fight	lumisotasilla
advocaat	munalikööri
merman	vetehinen
sprite	vodjanoi
agraphia	agrafia
spring cleaning	suursiivous
spring cleaning	kevätsiivous
rest	loppuelämä
authorization	propuska
hat in hand	lakki kourassa
polar cap	napajäätikkö
error message	virheilmoitus
residence	asuinpaikka
feast	kestit
flaunt	leveillä
push	lykkiä
recent	hiljattainen
sober	selvinpäin
incessantly	herkeämättä
all the time	koko ajan
nonstop	tauotta
gravitomagnetism	gravitomagnetismi
paleoanthropologist	paleoantropologi
intention	meininki
give someone the eye	pitää silmäpeliä
wheelie	keulia
come to the fore	nousta esiin
peer pressure	ryhmäpaine
bastard	mokoma
queasy	pahoinvoiva
pointer finger	suomensotti
middle finger	lonkermanni
ring finger	kultaralli
thumb	peukalopotti
qoph	qof
rerelease	uudelleenjulkaisu
kosto on suloinen	kosto on suloinen
overjoyed	ikionnellinen
ten	kymmenvuotias
type metal	kirjasinmetalli
raving	vauhko
giveaway	kylkiäinen
mudguard	roiskeläppä
1990s	ysäri
2000s	kaksari
depressed	lamaantua
burn	servata
offense	tekonen
unchanged	ennallaan
flash	väläys
rug	karvaturri
dirty	ryvettyä
like	silleen
erratically	säntäillä
cool	päheä
stopped up	tukossa
child	skidi
knife block	veitsiteline
Turkish delight	lokum
flash	välähdys
conversely	päinvastoin
unchanged	entisellään
beauty parlour	kauneussalonki
suck	lutkuttaa
in every way	kaikin puolin
at any moment	koska vaan
this and that	vaikka ja mitä
bearded tit	viiksitimali
payslip	tilinauha
by chance	sattumoisin
since then	sittemmin
based on	perusteella
under one's breath	puoliääneen
worryless	huoleti
mostly	enimmäkseen
selenology	kuututkimus
selenologist	kuututkija
askew	vinossa
visibly	silminnähden
atomic energy	atomienergia
snow cannon	lumitykki
user-friendliness	käyttäjäystävällisyys
pencil pusher	konttorirotta
unforgettable	ikimuistoinen
music therapy	musiikkiterapia
antibacterial	antibakteerinen
romanization	latinisaatio
Europeanisation	eurooppalaistuminen
bitter melon	karvaskurkku
wrongful conviction	oikeusmurha
nonet	nonetti
burn one's bridges	polttaa siltansa
Cook Islands Maori	rarotonga
lapidation	kivittäminen
ääretön	ääretön-merkki
endothelium	endoteeli
ruffle	pörröttää
earnestly	hartaasti
endothelial	endoteelinen
astride	hajareisin
undone	rästi
bursting	halkeamaisillaan
from a distance	etäältä
towards	kohden
rigmarole	ruljanssi
lie	pötköttää
oh my	hertsileijaa
wealthy	porho
outwit	vetää nenästä
bells and whistles	hienoudet
finesse	hienous
furiously angry	sydämistyä
Aramaic	aramealainen
lily pad	lumpeenlehti
dissatisfaction	tyytymättömyys
tällä erää	tällä erää
fine	pienellä painettu
between	välinen
ei olisi	pahitteeksi
koitua	parhaaksi
railroad tie	ratapölkky
en masse	sankoin joukoin
prosper	vaurastua
long time	aikoihin
entry	kirjaus
Etruscan	etruskilainen
act tough	mahtailla
cover letter	saatekirje
express mail	pikakirje
residential	asuin-
building	asuintalo
moulin	jäätikkökaivo
income entry	tulokirjaus
sum up	summautua
functional	toiminnallinen
amortization	lainanlyhennys
waybill	lähetysluettelo
call for bids	tarjouspyyntö
milestone	virstanpylväs
Chagatai	tšagatai
allochthonous	alloktoninen
autochthonous	autoktoninen
featherbrain	kananaivo
native	kotoisin
hail	raesade
long-term debt	pitkäaikainen vieras pääoma
homeomorphic	homeomorfinen
understudy	varanäyttelijä
long-term liability	pitkän aikavälin vastuu
long-term liability	pitkäaikainen vastuu
rejection	rukkaset
recycle bin	kierrätysastia
mammalogy	nisäkästutkimus
attractive	houkutteleva
wake-up	herätys
trumpet	toitottaa
speciation	lajiutuminen
anterograde	anterogradinen
retrograde	retrogradinen
touchiness	herkkätunteisuus
touchy	herkkätunteinen
web server	verkkopalvelin
mainly	pääosin
Chinese checkers	kiinanšakki
bubble tea	kuplatee
tapioca	tapioka
lumbar puncture	lannepisto
pointillism	divisionismi
transfer payment	tulonsiirto
Sindhi	sindhi
organization chart	organisaatiokaavio
precession	prekessio
autolysis	autolyysi
autecology	autekologia
petabyte	petatavu
pill	nukata
party congress	puoluekokous
Vistula	Veiksel
about three	kolmisen
about four	nelisen
about five	viitisen
about six	kuutisen
about seven	seitsemisen
about eight	kahdeksisen
about nine	yhdeksisen
about ten	kymmenisen
alphabet soup	aakkoskeitto
lower back	alaselkä
Nagorno-Karabakh	Vuoristo-Karabah
Võro	võro
isn't	ei ole
common purslane	vihannesportulakka
uyezd	ujesti
authoritative	käskevä
intelligent person	älyniekka
small of the back	lanneselkä
ochre	keltamulta
cranberry juice	karpalomehu
Carolingian	karolingi
initiative	aloitekyvytön
on the go	liikkeellä
thrust	työntö
gall	sapettaa
tangential	sivuava
gentrification	keskiluokkaistuminen
orthorexic	ortorektinen
suspended animation	valekuolema
vital function	vitaalitoiminto
slowing down	hidastaminen
body function	elintoiminto
teach someone a lesson	antaa opetus
grey heron	harmaahaikara
Alabama	alabama
human rights	ihmisoikeudet
doggedly	jääräpäisesti
dogged	jääräpäinen
viimeisen päälle	viimeisen päälle
at sixes and sevens	riidoissa
napit vastakkain	napit vastakkain
tangible	käsinkosketeltava
downright	suorastaan
kylkiviiva	kylkiviiva-aisti
cardiac arrest	sydänpysähdys
matter	kunnia-asia
midwinter	talvisydän
cute	lutunen
Jesus	kiesus
barley bread	ohraleipä
nice	metka
squeamish	herkkähermoinen
fortune favors the brave	rohkea rokan syö, kaino ei saa kaaliakaan
shrew	äkäpussi
Zen Buddhism	zenbuddhismi
ache	jomotus
inquire	tiedustella
joint	kimppa-
give out	hoilata hoosiannaa
olla pahoillaan	olla pahoillaan
repentant	katuvainen
redden	punastuttaa
causative	-ttaa
paperback	nidottu
dandy	hienohelma
paternal aunt	fasteri
momentane	-ahtaa
still	liikkumati
scrawl	raapustaa
away	loitolla
churn	velloa
long-legged	pitkäsäärinen
ischemic	iskeeminen
endocardium	sydämen sisäkalvo
endocardium	endokardium
fermentation	käymistila
kombucha	kombutsa
Japanophile	japanofiili
siitä lähtien	siitä lähtien, kun
fume hood	vetokaappi
spirit away	tyhjään
richness	rikkaus
rag	ryysy
knock on wood	koputtaa puuta
steal	nyysiä
good riddance	tervemenoa
good luck	lykkyä tykö
grudge	kaunainen
adobe	savitiili
infuriate	raivostuttaa
haistaa palaneen käryä	haistaa palaneen käryä
necrophagy	raadonsyönti
skydiving	taivassukellus
parachuting	laskuvarjohyppy
in the nick of time	viime hetkessä
catenative	ketjuuntuva
catenative verb	ketjuverbi
jättää pulaan	jättää pulaan
John Doe	Matti Meikäläinen
begin	alottaa
comical	hullunkurinen
estate agent	kiinteistönvälittäjä
sludge	mömmö
width	piedin
suggest	vihjata
piano bench	pianotuoli
from scratch	tyhjästä
snow morel	lehtokorvasieni
classmate	luokkakaveri
cross-platform	järjestelmäriippumaton
appellate court	valitustuomioistuin
simplistic	yliyksinkertaistettu
quality circle	laatupiiri
laatupainotettu elinvuosi	laatupainotettu elinvuosi
life year	elinvuosi
quality	laadukkuus
quality magazine	laatulehti
quality assurance	laadunvarmistus
rhombohedron	romboedri
acute-angled	teräväkulmainen
equiangular	tasakulmainen
translational energy	etenemisliikkeen energia
phycological research	levätutkimus
phycologist	levätutkija
concavity	konkaavius
collocation	kollokaatio
Amish	amissi
taffrail log	laahusloki
patent log	patenttiloki
chip log	käsiloki
cutaneous	kutaaninen
xenophobic	muukalaisvihamielinen
xenodochial	muukalaisystävällinen
xenophobic	ksenofobinen
overview	katsaus
pass out	menettää tajuntansa
commutator	kommutaattori
Ivorian	norsunluurannikkolainen
sports bra	urheilurintaliivit
great horned owl	amerikanhuuhkaja
exessive	eronto
through	halki
libration	libraatio
nonsteroidal anti-inflammatory drug	tulehduskipulääke
metamizole	metamitsoli
armful	sylillinen
temptation	houkutus
errand	asioilla
Wellington boots	kumisaappaat
welly	kumppari
pavonine	riikinkukkojen
pavonine	riikinkukkomainen
business premises	toimitila
almandine	almandiini
almondine	mantelikuorrutuksella
garnish	mantelikuorrutus
notably	eritoten
service	serviisi
work capacity	työkyky
unemployment	kilometritehdas
hippies	kukkaiskansa
hippiedom	hippiys
mudskipper	liejuryömijä
chicken drumstick	broilerinuija
mercurial	elohopeapitoinen
flambé	liekittää
flambé	liekitys
flambéed	liekitetty
indentation	sisennys
theological	erotutkinto
rumba	rumbata
sparkling water	porevesi
terylene	teryleeni
possession	haltuun
eteerinen öljy	eteerinen öljy
wet end	märkäpää
triplet	trioli
landward	maanpuoleinen
seaward	merenpuoleinen
agenttipartisiippi	suunnittelema
megapode	isojalkakana
curassow	hokko
quail	amerikanviiriäinen
magpie-goose	puuhanhi
glider	liitäjä
petrel	ulappaliitäjä
underprivileged	vähäosainen
diving petrel	myrskysukeltaja
copy	kopsata
next few days	lähipäivinä
carpology	siementiede
gumshoe	kumitossu
tennis shoe	tennistossu
icily	jäätävästi
zoochory	zookoria
cinchona	kiinapuu
Carthage	Kartago
Weimar Republic	Weimarin tasavalta
arranger	sovittaja
Varsovian	varsovalainen
ventilation pipe	tuuletusputki
range hood	liesituuletin
intensive care	tehohoito
brainstorming session	aivoriihi
maple leaf	vaahteranlehti
Austro-Hungarian	itävaltaunkarilainen
lock	mennä lukkoon
shrimp	pirpana
remodel	rempata
wallpaper	tapiseerata
patch pocket	paikkatasku
patch file	paikkaustiedosto
paronym	paronyymi
teahouse	teehuone
maistaa oma	maistaa omaa lääkettään
by-election	täydennysvaali
stylus	kirjoitusnaskali
police force	poliisivoima
tech	teekkarilakki
categorise	kategorisoida
monkey around	temppuilla
protoplanet	protoplaneetta
unicameral	yksikamarinen
pedo	pedari
tool	lusa
assistent	assari
sweat	kuullottaa
parched	kuivunut
Justice of the Peace	rauhantuomari
hyvä veli	hyvä veli -järjestelmä
salutation	hyvä veli
initialism	kirjainlyhenne
profession	professio
frustration	turhauma
more	rapiat
taxonomic	taksonominen
standard language	yleiskielinen
ex-pat	paluumuuttaja
kätten päälle paneminen	kättenpäällepaneminen
putting	paneminen
insulinoma	insulinooma
long-legged	pitkäjalkainen
keskuspölynimuri	keskusimuri
central vacuum	keskuspölynimuri
dick	kikku
te-hee	kikertää
entirely	kokonaan
lucky duck	onnenpekka
moon boot	kuukenkä
tehdä ohari	tehdä oharit
about	aikeissa
pink slip	lopputili
for kicks	läpällä
slacker	velttoilija
on all fours	kontallaan
on all fours	kontalleen
crawl	konttaus
crawler	kroolaaja
emittoida	emitoida
dietary supplement	ravintolisä
due date	palautuspäivä
goal	ylämummo
probably	vissiin
click	synkata
cram	tupata
tehdä bänät	tehdä bänät
nonstop	yhtä soittoa
yhteen menoon	yhteen menoon
phonetic	äänteellinen
nonillion	kvintiljoona
undecillion	sekstiljoona
tredecillion	septiljoona
diphthong	kaksoisääntiö
diphthong	pariääntiö
äänne	äng-äänne
sibilant	suhuäänne
fricative	hankausäänne
lintujen tarkkailu	lintujen tarkkailu
pala kurkussa	pala kurkussa
lord	herrastella
boss	pomottaa
cower	kyhjöttää
potato	jyrkkö
sexless	seksitön
big-breasted	isorintainen
bark	koja
railway	rautatiet
fit	raivari
saprophyte	marraskasvi
mandarin	hallitusherra
rhabdomyolysis	rabdomyolyysi
drinking fountain	juomalaite
volume	parmas
lineman	linjamies
flying fox	lentävä koira
cableway	köysirata
stick insect	sauvasirkka
running shoe	lenkkari
running shoe	lenkkitossu
running shoes	lenkkitossut
spackle	pakkeli
belly landing	mahalasku
palimpsest	palimpsesti
face	naamalleen
social networking site	naamakirja
tribade	tribadi
subcutaneous	subkutaaninen
hi-tech	korkean teknologian
high technology	korkea teknologia
password	passu
bulletproof vest	lusu
protoplasm	alkulima
volleyball	lentis
Tswana	tswana
Setswana	setswana
Bechuanaland	Betšuanamaa
castoreum	hauste
macromolecule	makromolekyyli
uphill	ylämäessä
topspin	yläkierre
backspin	alakierre
sidespin	sivukierre
sideways	sivuttainen
night glass	yökiikari
subway	metris
curriculum vitae	ansioluettelo
eyeshine	kiilusilmä
bow wow	hau hau
mike	mikittää
raving mad	pähkähullu
universal joint	kardaaninivel
orbicular	kehämäinen
hand puppet	käsinukke
gimmick	konsti
magic trick	poppakonsti
take shape	muotoutua
axillary hair	kainalokarva
earwig	pihtihäntäinen
easier said than done	helpommin sanottu kuin tehty
Easter Sunday	pääsiäissunnuntai
easy chair	laiskanlinna
eating disorder	syömishäiriö
eating	ruokailu
eavesdrop	räystäänalunen
eccentric	eksentrikko
jättää varjo	jättää varjoonsa
economic	liiketaloudellinen
economic refugee	talouspakolainen
editor	muokkaaja
efficiently	tehokkaasti
egomaniac	egomaanikko
elderberry	seljanmarja
electoral fraud	vaalivilppi
electrification	sähköistäminen
electromagnetic radiation	sähkömagneettinen säteily
electromechanical	sähkömekaaninen
yhdestoista hetki	yhdestoista hetki
eleventh	yhdestoistaosa
elite	parhaimmisto
elongated	pitkulainen
eloquent	kaunopuheinen
email	meilata
embarrassment	kiusaantuneisuus
embarrassed	nolostunut
embarrassed	kiusaantunut
embarrassed	vaivaantunut
embarrassment	nolostuminen
embroidery	kirjontatyö
éminence grise	harmaa eminenssi
emotional	tunteellinen
contain	pitää sisällään
encouraging	rohkaiseva
encrypted	kryptattu
endearing	hellyttävä
endless	loppumaton
endurance	kestävyys
energy drink	energiajuoma
enhancement	kohennus
enlightened	valaistunut
enlist	värväytyä
en masse	joukoittain
enormously	suunnattomasti
en route	matkan varrella
epicycloid	episykloidi
epiglottis	kurkunkansi
epilogue	loppusanat
epitaph	epitafi
equivocal	moniselitteinen
equivocal	monimerkityksinen
escape velocity	pakonopeus
essay	kirjoitelma
ethnic group	etninen ryhmä
ethylenediamine	etyleenidiamini
ethology	käyttäytymistiede
eulogy	muistopuhe
Euroskeptic	euroskeptikko
Eurosceptic	euroskeptinen
Eurozone	euroalue
eutrophic	runsasravinteinen
evaporation	haihdunta
